1,help,を助ける
2,try,しようとする
3,hold,を保持する
4,grow,育つ
5,let,させてやる
6,seem,のように思える
7,enjoy,を楽しむ
8,create,を生み出す
9,choose,選ぶ
10,spend,を費やす
11,appear,のように見える
12,lie,横になる
13,lie,うそをつく
14,arrive,着く
15,discover,を発見する
16,act,行動する
17,rise,上がる
18,forget,を忘れる
19,hang,をかける
20,wish,であればいいのにと思う
21,born,生まれる
22,win,に勝つ
23,fight,と戦う
24,pick,を拾い上げる
25,dress,服を着る
26,communicate,考えを伝える
27,drop,落ちる
28,throw,を投げる
29,promise,約束する
30,separate,を分ける
31,pull,を引く
32,push,を押す
33,hunt,狩る
34,hide,を隠す
35,lay,を置く
36,join,に参加する
37,climb,に登る
38,relax,リラックスする
39,invite,を招待する
40,ring,鳴る
41,collect,を集める
42,gather,を集める
43,wake,目を覚ます
44,link,と関係がある
45,repeat,繰り返して言う
46,mix,を混ぜる
47,recycle,を再生利用する
48,roll,を巻く
49,request,を頼む
50,lift,を持ち上げる
51,blow,吹く
52,dislike,が嫌いだ
53,sail,航行する
54,limit,を制限する
55,comment,論評する
56,introduce,を紹介する
57,bark,ほえる
58,dig,を掘る
59,wrap,を包む
60,shine,輝く
61,shut,を閉じる
62,enter,に入る
63,knock,ノックする
64,lend,を貸す
65,mark,に印を付ける
66,pass,通る
67,shout,叫ぶ
68,imagine,と想像する
69,hope,を望む
70,plan,計画する
71,plant,を植える
72,record,を記録する
73,report,を報告する
74,shock,にショックを与える
75,steal,を盗む
76,bite,かむ
77,begin,はじまる
78,disagree,意見が異なる
79,boil,ゆでる
80,fry,を油であげる
81,place,場所
82,job,仕事
83,fact,事実
84,light,光
85,culture,文化
86,century,世紀
87,age,年齢
88,information,情報
89,living,生きること
90,land,土地
91,history,歴史
92,past,過去
93,future,未来
94,health,健康
95,space,空間
96,side,側
97,law,法律
98,dream,夢
99,ceremony,儀式
100,moment,瞬間
101,price,値段
102,forest,森林
103,weather,天気
104,conversation,会話
105,fear,恐れ
106,ability,能力
107,accident,事故
108,community,社会
109,average,平均
110,success,成功
111,human being,人間
112,opinion,意見
113,memory,記憶
114,bit,少量
115,contact,接触
116,blood,血
117,belief,信念
118,doubt,疑い
119,date,日付
120,technology,科学技術
121,meal,食事
122,sale,販売
123,fun,楽しみ
124,tourist,観光客
125,goal,目的
126,none,どれも…ない
127,noise,音
128,flight,飛行
129,mail,郵便
130,gas,ガス
131,damage,害
132,sheet,1枚の紙
133,farm,農場
134,drug,薬
135,post,郵便
136,smell,におい
137,nurse,看護師
138,guest,客
139,guide,案内
140,flow,流れ
141,hurry,急ぎ
142,scale,規模
143,interview,面接
144,joke,冗談
145,series,一連の
146,error,誤り
147,spot,地点
148,blank,空欄
149,actor,俳優
150,mathematics,数学
151,homework,宿題
152,bath,入浴
153,block,ブロック
154,soldier,兵士
155,journey,旅行
156,host,主催者
157,route,道
158,plate,皿
159,humor,ユーモア
160,grass,草
161,cash,現金
162,coast,海岸地域
163,salary,給料
164,hero,英雄
165,gap,格差
166,guard,守衛
167,ease,楽
168,army,軍隊
169,battle,戦い
170,pupil,生徒
171,paragraph,段落
172,mystery,謎
173,coal,石炭
174,bike,自転車
175,fool,ばか
176,sake,ため
177,guy,男
178,license,免許
179,situation,状況
180,label,ラベル
181,aid,援助
182,clothes,衣服
183,shadow,影
184,refrigerator,冷蔵庫
185,bottom,底
186,loan,ローン
187,knee,ひざ
188,square,正方形
189,stairs,階段
190,headache,頭痛
191,setting,背景
192,cave,洞くつ
193,root,根
194,joy,喜び
195,shore,岸
196,midnight,夜の12時
197,poet,詩人
198,journal,雑誌
199,prize,賞
200,tool,道具
201,topic,話題
202,wave,波
203,area,地域
204,control,支配
205,harmony,調和
206,balance,バランス
207,heat,熱
208,experience,経験
209,officer,役人
210,traffic,交通
211,neighbor,近所の人
212,grade,学年
213,anybody,誰でも
214,anything,何でも
215,attendant,接客係
216,cage,おり
217,cell phone,携帯電話
218,chopstick,はし
219,customer,客
220,dictionary,辞書
221,engineer,技術者
222,fog,霧
223,freedom,自由
224,package,包装
225,husband,夫
226,kindergarten,幼稚園
227,luck,運
228,temple,寺院
229,movement,運動
230,piece,ひとつ
231,sightseeing,観光
232,trouble,悩み
233,different,異なる
234,sure,を確信している
235,difficult,難しい
236,least,最も小さい
237,global,世界的な
238,several,いくつかの
239,foreign,外国の
240,whole,すべての
241,alone,ひとりで
242,necessary,必要な
243,main,主な
244,famous,有名な
245,afraid,恐れる
246,equal,平等な
247,deep,深い
248,busy,いそがしい
249,true,真実の
250,heavy,重い
251,dangerous,危険な
252,wide,広い
253,exciting,わくわくさせる
254,impossible,不可能な
255,daily,日常の
256,surprised,驚いている
257,public,公の
258,tired,疲れた
259,angry,腹を立てた
260,wild,野生の
261,dark,黒い
262,dead,死んだ
263,careful,気をつける
264,ordinary,普通の
265,cheap,安い
266,central,中央の
267,friendly,親切な
268,unique,独特の
269,glad,うれしい
270,another,もう1つの
271,bright,明るい
272,regular,いつもの
273,poor,貧しい
274,constant,不変の
275,commercial,商業の
276,local,その土地の
277,fair,正当な
278,honest,正直な
279,proud,誇りを持っている
280,asleep,眠って
281,loud,(音・声が)大きい
282,chief,主な
283,overseas,海外の
284,clever,利口な
285,upper,上の方の
286,dirty,汚れた
287,smart,利口な
288,royal,国王の
289,crazy,狂っている
290,absent,いない
291,gentle,やさしい
292,delicious,おいしい
293,thin,薄い
294,elegant,優雅な
295,smooth,なめらかな
296,lonely,孤独な
297,clear,明らかな
298,personal,個人の
299,lovely,かわいい
300,blind,目の不自由な
301,active,活動的な
302,intelligent,知的な
303,round,丸い
304,broad,幅の広い
305,outside,外の
306,actually,実は
307,rather,よりもむしろ
308,almost,ほとんど
309,quite,まったく
310,yet,まだ
311,perhaps,ひょっとすると
312,especially,特に
313,simply,単に
314,instead,代わりに
315,either,(AかBの)どちらか
316,finally,やっと
317,indeed,実に
318,else,他に
319,neither,(AもBも)ない
320,forward,前へ
321,highly,高度に
322,abroad,外国へ
323,straight,まっすぐ
324,ahead,前へ
325,apart,離れて
326,naturally,当然
327,unfortunately,あいにく
328,fairly,かなり
329,badly,ひどく
330,forth,前へ
331,downtown,町の中心へ
332,later,後で
333,upstairs,2階へ
334,already,すでに
335,far,遠くに
336,anyway,とにかく
337,anytime,いつでも
338,anywhere,どこでも
339,also,もまた
340,left,左へ
341,both,両方とも
342,ever,今までに
343,everywhere,いたるところで
344,halfway,中ほどで
345,toward,の方に
346,without,なしで
347,during,の間ずっと
348,while,している間に
349,though,けれども
350,although,けれども
351,follow,に続く
352,consider,を考慮する
353,increase,増える
354,expect,を予期する
355,decide,決意する
356,develop,発達する
357,provide,を供給する
358,continue,続く
359,include,を含む
360,remain,ままでいる
361,reach,に着く
362,allow,を許可する
363,force,を強制する
364,offer,を申し出る
365,realize,を悟る
366,suggest,を提案する
367,require,を必要とする
368,worry,心配する
369,wonder,かと疑問に思う
370,cost,を要する
371,tend,する傾向がある
372,depend,に依存する
373,share,を分け合う
374,demand,を要求する
375,support,を支持する
376,hire,を雇う
377,regard,みなす
378,base,に基づいている
379,improve,を向上させる
380,recognize,を認める
381,notice,に気づく
382,suppose,だと思う
383,raise,を上げる
384,prefer,をより好む
385,cheer,を励ます
386,suffer,を受ける
387,describe,の特徴を言う
388,prevent,をさまたげる
389,reduce,を減らす
390,mistake,を誤解する
391,prepare,準備をする
392,encourage,はげます
393,prove,だとわかる
394,treat,をあつかう
395,establish,を設立する
396,relate,関係がある
397,compare,を比較する
398,spread,を広げる
399,refer,を参照する
400,supply,を供給する
401,gain,を得る
402,destroy,を破壊する
403,apply,当てはまる
404,seek,を求める
405,search,を捜す
406,claim,と主張する
407,draw,を引っぱる
408,refuse,を断る
409,respond,返答する
410,mention,述べる
411,judge,判断する
412,approach,接近する
413,admit,を認める
414,reflect,を反映する
415,perform,を遂行する
416,bore,うんざりさせる
417,survive,生き残る
418,represent,を表す
419,argue,と主張する
420,grant,を認める
421,indicate,を指し示す
422,belong,所属している
423,acquire,を習得する
424,reply,返事をする
425,feed,を養う
426,escape,逃げる
427,replace,に取って代わる
428,reveal,を明らかにする
429,surround,を取り囲む
430,suit,に合う
431,estimate,を推定する
432,aim,をねらう
433,earn,かせぐ
434,decline,低下する
435,afford,余裕がある
436,confuse,を当惑させる
437,graduate,を卒業する
438,vary,変わる
439,remove,を取り除く
440,insist,(強く)主張する
441,examine,を調査する
442,remind,思い出させる
443,contribute,貢献する
444,warn,警告する
445,connect,をつなぐ
446,match,に匹敵する
447,focus,焦点を合わせる
448,reject,を断る
449,convince,と納得させる
450,associate,に関連づける
451,rush,急いでいく
452,stress,を強調する
453,attract,を引きつける
454,rely,に頼る
455,regret,を後悔する
456,adopt,を採用する
457,shake,を振る
458,hurt,を傷つける
459,operate,を操作する
460,extend,を広げる
461,blame,を非難する
462,consist,構成されている
463,persuade,を説得する
464,admire,に感心する
